t,Re<C_aa>,Im<C_aa>,|C_aa|,|C_aa|^2,Re<C_ab>,Im<C_ab>,|C_ab|,|C_ab|^2
0,1,0,1,1,0.487572474,0,0.487572474,0.237726917
3.6,-0.361159769,0.183849307,0.405261578,0.164236947,-0.19676572,0.0521599321,0.203561802,0.0414374072
7.2,0.0624419443,0.0248586981,0.067208268,0.00451695129,0.0164445927,0.0218155553,0.0273192804,0.000746343084
10.8,0.111350795,0.207862893,0.235809206,0.0556059818,0.107702958,0.106565343,0.151512704,0.0229560995
14.4,-0.367842416,0.072573542,0.374933277,0.140574962,-0.435747785,0.0903624397,0.445018542,0.198041503
18,0.0210500927,-0.187461144,0.188639304,0.0355847869,0.292995719,-0.155033621,0.331484412,0.109881915
21.6,-0.0339216494,0.0644475038,0.0728296577,0.00530415905,-0.143919231,-0.04455671,0.150658706,0.0226980456
25.2,-0.114234936,-0.20052788,0.230783559,0.0532610511,-0.0790430159,-0.081984988,0.113882995,0.0129693366
28.8,0.43150205,-0.20185188,0.476380311,0.226938201,0.342900192,-0.0699338735,0.349958981,0.122471288
32.4,-0.254924698,0.318450937,0.407918621,0.166397601,-0.20935434,0.190811486,0.283263593,0.0802382628
36,0.260258549,-0.0880718701,0.274756559,0.0754911668,0.212787612,-0.052900933,0.219264855,0.0480770766
39.6,-0.0924563868,0.107815907,0.142029762,0.0201724534,-0.048250716,0.0687589196,0.0839995275,0.00705592062
43.2,-0.239777549,0.0926684008,0.257061677,0.0660807056,-0.282472346,0.0809703601,0.293848303,0.0863468255
46.8,0.100928578,-0.0931745776,0.137361129,0.0188680797,0.196640795,-0.136433675,0.239336061,0.0572817502
50.4,-0.0820509169,0.0110810962,0.0827957949,0.00685514365,-0.179352888,0.0681963189,0.191880682,0.0368181963
54,-0.0277856451,-0.218658669,0.220417004,0.0485836557,0.116843714,-0.142506071,0.184283569,0.0339604339
57.6,0.258506558,0.0145696664,0.258916812,0.0670379156,0.152446422,-0.0605210369,0.164020449,0.0269027076
61.2,-0.166668057,0.166471825,0.23556551,0.0554911097,-0.18789928,0.152020509,0.241694796,0.0584163743
64.8,0.2096957,-0.100481004,0.232526812,0.0540687185,0.203395919,-0.0357388976,0.206511909,0.0426471686
68.4,-0.19397256,0.20531458,0.282452528,0.0797794308,-0.117947786,0.142562017,0.18502867,0.0342356087
72,-0.0251911233,0.00507429339,0.0256971038,0.000660341146,-0.0796785865,-0.025111239,0.0835419144,0.00697925147
75.6,0.0475738725,-0.135615904,0.14371829,0.0206549469,0.11032584,-0.137378788,0.176195126,0.0310447223
79.2,-0.160681069,0.0273124925,0.162985822,0.0265643781,-0.224227901,0.0681816155,0.234364853,0.0549268844
82.8,0.101322902,-0.146051111,0.177756174,0.0315972575,0.181335391,-0.126589324,0.221150133,0.0489073811
86.4,0.164933003,0.0809061739,0.183708205,0.0337487045,0.0528916733,0.0434751232,0.0684661627,0.00468761543
