index,energy,avg_density_small,avg_density_channel,avg_density_large,frac_small,frac_channel,frac_large,ratio_vs_uniform_small,ratio_vs_uniform_channel,ratio_vs_uniform_large,uniform_baseline_1_over_area_total
0,0.000205205848615587,2.794088588614605e-36,2.3819435438279287e-10,6.906865942868583e-06,2.0631270729471383e-31,2.7580524293983588e-06,0.9999967718063422,6.216763287009838e-31,5.2997529267108263e-05,1.5367569516904311,4.49444262169827e-06
1,0.0002829826735667965,5.13703832715319e-36,9.774157606882176e-10,6.906796798622285e-06,3.793137730386644e-31,1.1317497093008871e-05,0.9999867608949302,1.1429756166766032e-30,0.00021747207450584634,1.5367415673030624,4.49444262169827e-06
2,0.00040856811070494206,1.3542276813254668e-05,3.945422220872321e-09,1.5327451425100025e-31,0.9999481776139114,4.56840438954806e-05,2.219154399680257e-26,3.0131159641187235,0.0008778446078774288,3.41031195973048e-26,4.49444262169827e-06
3,0.0004105723609040228,2.993526982739394e-31,2.315554489459576e-09,6.906671813758979e-06,2.210390388784941e-26,2.6811805433452428e-05,0.9999686652114663,6.660507730785669e-26,0.0005152039272412872,1.5367137585459316,4.49444262169827e-06
4,0.0005597133378638373,1.3540112672276691e-05,1.613587444814157e-08,1.4332321959042478e-33,0.9997883796082386,0.00018683729023503124,2.075076570196047e-28,3.012634449243547,0.003590183657088155,3.188898638921074e-28,4.49444262169827e-06
5,0.0005866761418608456,2.2741340117148654e-33,4.345623620849512e-09,6.906482595989901e-06,1.6791978129101394e-28,5.0317975905816505e-05,0.9999412696952058,5.059879952045224e-28,0.0009668882187681538,1.5366716581599649,4.49444262169827e-06
6,0.0007461420980171057,2.2763653966144777e-34,3.4814342978147494e-10,6.906855864993351e-06,1.680845445206164e-29,4.031152773439698e-06,0.9999953127013324,5.064844716505314e-29,7.746086869608882e-05,1.5367547093934255,4.49444262169827e-06
7,0.0008090367857139398,1.3536302355083772e-05,3.7683282745371594e-08,2.9768934687707695e-28,0.9995070295970306,0.0004363347309086577,4.3100356708903833e-23,3.011786665099074,0.008384417360996944,6.623498661210898e-23,4.49444262169827e-06
8,0.0008091470588963646,5.833424021128064e-28,7.351160754560737e-09,6.9062031954995604e-06,4.3073419629607516e-23,8.511909037705878e-05,0.9999008172540129,1.2979193444289309e-22,0.0016356112144075004,1.5366094923890656,4.49444262169827e-06
9,0.0008348415250899901,2.9093920584680513e-33,1.1395097589150934e-09,6.90678238231033e-06,2.1482660020522244e-28,1.3194383498477867e-05,0.9999846736580366,6.47331004832966e-28,0.0002535375028293315,1.5367383597169015,4.49444262169827e-06
10,0.0009780080144829385,4.046828782563263e-34,3.855837942228595e-09,6.906530333932746e-06,2.988137904756888e-29,4.46467475330649e-05,0.9999481813377848,9.004072636339784e-29,0.0008579123746320356,1.5366822797090343,4.49444262169827e-06
11,0.001076466070382846,3.34946384732803e-33,1.0221447588488764e-08,6.9059374597464815e-06,2.4732106102285438e-28,0.00011835414162711139,0.9998623432344749,7.452456576389446e-28,0.0022742414240959847,1.5365503669812128,4.49444262169827e-06
12,0.0011531827595648969,1.3530503251184654e-05,7.066408813911999e-08,8.543735529652713e-32,0.9990788295642237,0.0008182194765628705,1.2369876611897087e-26,3.010496381878832,0.01572254761868978,1.9009555241411396e-26,4.49444262169827e-06
13,0.0011749281292014,1.6783756106813349e-31,7.51991114020992e-09,6.906191403359573e-06,1.2392957671709908e-26,8.707305109249066e-05,0.9998991099526091,3.7343353824976494e-26,0.0016731576689632864,1.536606868673295,4.49444262169827e-06
14,0.0013863824732251431,9.461766473714351e-33,1.5534195249914263e-08,6.9054467265967824e-06,6.9864737465259395e-28,0.00017987044679875725,0.9997912934168619,2.105214655102022e-27,0.0034563118405201735,1.5364411803276041,4.49444262169827e-06
15,0.001421615264778345,1.698007826680969e-32,1.1577163758799212e-08,6.9058179025662914e-06,1.2537919991429607e-27,0.00013405197916313606,0.9998450333872554,3.778016474130356e-27,0.002575884204841548,1.5365237658672921,4.49444262169827e-06
16,0.001487941234691832,1.3540624524970954e-05,1.3424204786950833e-08,7.547369170448585e-33,0.9998261742993303,0.00015543886722810369,1.0927307506050575e-27,3.0127483349324624,0.002986845292482199,1.6792669983172987e-27,4.49444262169827e-06
17,0.0015881134816848037,1.3520280146414629e-05,1.2918541269421946e-07,4.0884257949621753e-32,0.9983239657311098,0.001495837893586367,5.919345518720086e-27,3.0082217717368156,0.028743366768225746,9.096624741016991e-27,4.49444262169827e-06
18,0.0016447091230980186,5.633117083345612e-32,4.877050977813974e-10,6.906843292452337e-06,4.159437323171567e-27,5.6471373272108e-06,0.9999934924111268,1.2533516516931486e-26,0.00010851292114106758,1.5367519120407676,4.49444262169827e-06
19,0.0016576335777705095,1.35378654621367e-05,2.9241194420686827e-08,6.338331657703764e-32,0.9996224478587119,0.00033858379019713276,9.176826723973241e-27,3.0121344517290294,0.006506078035019557,1.4102597788441142e-26,4.49444262169827e-06
20,0.0017111176206525609,1.678811062104379e-31,3.289179442470453e-08,6.903850790122726e-06,1.2396173001472524e-26,0.0003808540876436538,0.9995602289463387,3.73530424885038e-26,0.007318325584113484,1.5360860892499362,4.49444262169827e-06
21,0.0017212209150582957,4.742513813870216e-33,4.1361308113373807e-11,6.906883861103159e-06,3.501824775023629e-28,4.789225866447553e-07,0.9999993660620987,1.0551950960446814e-27,9.202766971301332e-06,1.5367609384438694,4.49444262169827e-06
