t,Re<C_aa>,Im<C_aa>,|C_aa|,|C_aa|^2,Re<C_ab>,Im<C_ab>,|C_ab|,|C_ab|^2
0,1,0,1,1,-0.157026366,0,0.157026366,0.0246572796
3.6,0.151918207,-0.252451206,0.294636646,0.0868107531,-0.0700530822,-0.0957002883,0.118600082,0.0140659795
7.2,-0.0142472579,-0.0249911802,0.0287670548,0.000827543442,0.00633247345,0.00443487768,0.00773099994,5.97683601e-05
10.8,-0.498332827,-0.0561288772,0.501483856,0.251486057,0.0759603944,-0.128757697,0.149494235,0.0223485262
14.4,-0.451179178,0.515993826,0.685428537,0.469812279,0.181632873,0.00765053958,0.181793925,0.0330490312
18,0.0270102144,0.0853389103,0.0895113473,0.00801228129,0.0565450154,0.0521636167,0.0769310189,0.00591838167
21.6,0.0770355618,0.0269326407,0.0816078729,0.00665984492,-0.0241189302,0.0126008121,0.0272121896,0.00074050326
25.2,0.485341307,-0.285256031,0.562962865,0.316927188,-0.0527758978,0.151592326,0.160516444,0.0257655287
28.8,0.0495447655,-0.429347944,0.432197109,0.186794341,-0.164960102,0.0208246899,0.166269369,0.0276455031
32.4,0.0108158692,0.0218808385,0.0244080749,0.000595754118,-0.00732672827,-0.0388575656,0.039542273,0.00156359135
36,-0.202735542,0.0332980772,0.205451848,0.0422104618,0.0168219576,-0.0487970706,0.0516152338,0.00266413236
39.6,-0.2475782,0.432082092,0.497985842,0.247989899,0.0316118888,-0.141883088,0.145362038,0.0211301221
43.2,0.0827437179,0.184759987,0.20244203,0.0409827755,0.12366652,-0.0206143758,0.125372887,0.0157183607
46.8,0.0056954131,-0.00571304395,0.00806700698,6.50766015e-05,-0.010265236,0.0539443583,0.0549123744,0.00301536887
50.4,0.219321415,-0.169310053,0.277069986,0.076767777,0.00941538125,0.0618690533,0.0625813803,0.00391642916
54,0.0180871903,-0.450707269,0.451070049,0.203464189,-0.0349493329,0.117084349,0.122189201,0.0149302007
57.6,-0.0354014202,-0.00933327464,0.0366110716,0.00134037057,-0.0917962785,0.00406734593,0.0918863431,0.00844310005
61.2,-0.0683743621,0.0190942106,0.0709904379,0.00503964227,0.00621213842,-0.0548503631,0.0552010235,0.003047153
64.8,-0.146811369,0.297621764,0.331861858,0.110132293,-0.0194301382,-0.0608113522,0.0638400409,0.00407555082
68.4,0.122981142,0.276658564,0.302761164,0.0916643225,0.0486999932,-0.108048174,0.118516232,0.0140460973
72,-0.00738644455,-0.0141643713,0.0159746354,0.000255188977,0.0618977307,0.0167416413,0.0641218498,0.00411161162
75.6,0.107807478,-0.0891413448,0.139887925,0.0195686316,-0.00394384746,0.0500009914,0.0501562865,0.00251565308
79.2,-0.00315524109,-0.357403095,0.357417022,0.127746928,0.0241516554,0.0683472132,0.0724889233,0.00525464401
82.8,-0.140197289,-0.098867822,0.171552109,0.0294301261,-0.0416151283,0.103029951,0.111117009,0.0123469897
86.4,0.0322419337,0.0104732118,0.0339003017,0.00114923045,-0.0457781724,-0.0461529036,0.0650056273,0.00422573158
90,-0.102072902,0.200605145,0.225080656,0.0506613017,-0.00662151582,-0.0465828325,0.0470510866,0.00221380475
93.6,0.111259862,0.27298482,0.294787159,0.086899469,-0.0298022567,-0.065037965,0.071540977,0.00511811139
97.2,0.0661595106,0.0138682962,0.0675974148,0.00456941048,0.0326490606,-0.0667625103,0.0743181939,0.00552319394
100.8,0.020147641,-0.0310811468,0.0370400476,0.00137196512,0.0411117582,0.0650741801,0.0769728886,0.00592482558
104.4,0.0178871203,-0.293558729,0.294103173,0.0864966766,0.010834436,0.0324799546,0.0342393407,0.00117233245
108,-0.209944085,-0.196790319,0.287755015,0.0828029486,0.0186296721,0.0691531012,0.0716185457,0.00512921609
111.6,0.0282435605,0.0160176283,0.0324694183,0.00105426312,-0.0472000128,0.035961424,0.0593385644,0.00352106523
115.2,-0.0495528569,0.120497145,0.130288325,0.0169750475,-0.0440147495,-0.0757794643,0.0876346129,0.00767982539
118.8,0.157861462,0.2851364,0.325918714,0.106223008,-0.0106832436,-0.0284218196,0.0303633253,0.00092193152
122.4,0.188645429,0.0222819513,0.189956793,0.0360835831,-0.0154507974,-0.0865416868,0.0879101285,0.0077281907
126,-0.037867963,-0.00103691042,0.0378821568,0.0014350578,0.0613404011,-0.0175689875,0.0638068502,0.00407131413
129.6,-0.0363266017,-0.201087473,0.204342345,0.0417557938,0.0500978607,0.0700555238,0.0861253277,0.00741757207
133.2,-0.270323902,-0.124907094,0.297786491,0.088676794,0.0164238145,0.0319537109,0.0359274452,0.00129078132
136.8,-0.0638656598,0.0458890896,0.0786424252,0.00618463104,0.0344845345,0.0850343275,0.0917606668,0.00842001998
140.4,0.015354955,-0.00151733278,0.0154297422,0.000238076943,-0.0748352254,-0.00230771324,0.0748707987,0.0056056365
144,0.152230736,0.182197483,0.237423924,0.0563701196,-0.0541190319,-0.0533917887,0.0760233695,0.00577955271
147.6,0.175251338,-0.0265142516,0.177245697,0.031416037,-0.035415065,-0.0226179775,0.04202142,0.00176579974
151.2,-0.00413930007,-0.0228842983,0.0232556426,0.000540824914,-0.0332924736,-0.056249127,0.0653632395,0.00427235308
154.8,-0.0197844507,-0.0530188485,0.056589953,0.00320242279,0.0909311317,-0.000543564266,0.0909327564,0.00826876618
158.4,-0.181633573,-0.0756364115,0.196752692,0.0387116216,0.042768652,0.0309520301,0.0527938042,0.00278718576
162,-0.0808971989,0.0521908838,0.0962717256,0.00926824515,0.0318534338,0.00744180887,0.0327111872,0.00107002177
165.6,0.0173683308,-0.0107669968,0.0204349489,0.000417587137,0.010695154,0.0372364135,0.0387419257,0.00150093681
169.2,0.0490078201,0.0909259783,0.103292304,0.0106693,-0.0740371419,0.0120469943,0.0750108556,0.00562662845
172.8,0.133174847,0.0190282854,0.134527379,0.0180976156,-0.0254910865,-0.0217735148,0.033524341,0.00112388144
176.4,0.0212278206,-0.0271655345,0.0344758848,0.00118858663,-0.0247864967,-0.00594714284,0.025489977,0.000649738929
180,-0.00980642304,-0.0105633958,0.0144135792,0.000207751265,0.00736081619,-0.029115713,0.0300317558,0.000901906356
